No ;Muestra;Garantía;Estado actual SAP;Cobertura;Nombre producto ;Intermediario ;TPID Deudor;ID Deudor;Nombre Deudor; Valor desembolso Anexo 5 ;AUDITOR; SALDO DE CREDITO ; SALDO GARANTIZADO ;FECHA DE CORTE DEL SALDO;FECHA INICIO DE MORA;Clasificación Motivo de anulación (Incumplimiento);Fecha de anulacion;Reactivación;Ciudad
182;Inspeccion a demanda;7557789;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;NIT;8921001108;CINCOEXPRESS LTDA;$ 91.930.651;Iveth Roa;$ 85.692.550;$ 42.846.275;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
183;Inspeccion a demanda;7557846;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;40316170;VELASQUEZ RODRIGUEZ TULIA ETELVINA;$ 106.959.055;Iveth Roa;$ 104.465.367;$ 52.232.684;31/07/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
184;Inspeccion a demanda;7654342;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;79886602;DIAZ PEAA ELINTON RAUL;$ 38.252.068;Iveth Roa;$ 5.075.688;$ 2.537.844;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
185;Inspeccion a demanda;7654349;Extinguida - Saldada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;1098679039;FABIAN HERNANDO JAIMES MERCHAN;$ 73.410.531;Iveth Roa;$ 69.344.899;$ 34.672.450;31/07/2021;-;Diferencia en fecha y monto de desembolso;17/09/2022;Si;No aplica
186;Inspeccion a demanda;7654361;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;93391038;MILTON RENGIFO CADENA;$ 72.711.848;Iveth Roa;$ 68.346.917;$ 34.173.459;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
187;Inspeccion a demanda;7654397;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;16794587;JOSE ALIRIO SEPULVEDA VEGA;$ 75.089.062;Iveth Roa;$ 70.955.260;$ 35.477.630;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
188;Inspeccion a demanda;7704496;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;43475233;GARCIA AGUIRRE MARIA IDADLY;$ 68.748.792;Iveth Roa;$ 65.811.834;$ 32.905.917;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
189;Inspeccion a demanda;7704503;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;94295889;OBED FERNANDO ARITIZABAL VELEZ;$ 43.324.031;Iveth Roa;$ 41.484.171;$ 20.742.086;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
190;Inspeccion a demanda;7704511;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;79260929;JOHN DARIO RAMIREZ LOAIZA;$ 25.568.669;Iveth Roa;$ 24.092.202;$ 12.046.101;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
191;Inspeccion a demanda;7704513;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;40325162;ANA IDALY RODRIGUEZ RIOS;$ 19.522.742;Iveth Roa;$ 19.522.742;$ 9.761.371;31/08/2021;-;Diferencia tipo de cartera entre los soportes;17/09/2021;Si;No aplica
192;Inspeccion a demanda;7716251;Vigente;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;1037593305;VIVIANA ACEVEDO TAMAYO;$ 54.406.100;Iveth Roa;$ 49.834.099;$ 24.917.050;31/01/2022;-;Diferencia en fecha y monto de desembolso;17/09/2021;Si;No aplica
193;Inspeccion a demanda;7721035;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;14242855;HERNANDO GODOY MEDINA;$ 55.001.286;Iveth Roa;$ 52.202.485;$ 26.101.243;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
194;Inspeccion a demanda;7721054;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;63330342;MARIA LUISA BAUTISTA CACERES;$ 51.880.252;Iveth Roa;$ 49.789.235;$ 24.894.618;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
195;Inspeccion a demanda;7721073;Extinguida - Saldada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;91150963;JOSEFITO PINTO FORERO;$ 31.813.570;Iveth Roa;$ 31.813.569;$ 15.906.785;22/07/2021;-;Diferencia en fecha y monto de desembolso;17/09/2022;Si;No aplica
196;Inspeccion a demanda;7721088;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;12258404;BARON GALINDO HECTOR IBAN;$ 48.815.516;Iveth Roa;$ 46.697.258;$ 23.348.629;31/08/2021;-;Diferencia tipo de cartera entre los soportes;17/09/2021;NO;No aplica
197;Inspeccion a demanda;7721097;Vigente;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;43535841;MIRIAM DEL SOCORRO OSORIO VALENCIA;$ 82.632.000;Iveth Roa;$ 79.962.661;$ 39.981.331;31/01/2022;-;Diferencia en fecha y monto de desembolso;17/09/2021;Si;No aplica
198;Inspeccion a demanda;7721107;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;60327764;FRANCIA ELENA RENGIFO CRESPO;$ 55.633.283;Iveth Roa;$ 53.636.919;$ 26.818.460;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
199;Inspeccion a demanda;7721120;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;43617859;ADRIANA MARIN LOPEZ;$ 56.086.644;Iveth Roa;$ 54.115.094;$ 27.057.547;31/08/2021;-;Diferencia tipo de cartera entre los soportes;17/09/2021;NO;No aplica
200;Inspeccion a demanda;7748299;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;1057783984;FLOREZ GIRALDO JORGE WILLIAM;$ 67.671.000;Iveth Roa;$ 67.671.000;$ 33.835.500;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
201;Inspeccion a demanda;7794868;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;1102582382;CURE ENCISO SALMA HELENA;$ 23.683.324;Iveth Roa;$ 22.292.474;$ 11.146.237;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
202;Inspeccion a demanda;7794887;Extinguida - Saldada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;52715676;GALARZA VERGARA SANDRA XIMENA;$ 26.803.546;Iveth Roa;$ 26.468.073;$ 13.234.037;30/06/2021;-;Diferencia en fecha y monto de desembolso;17/09/2022;Si;No aplica
203;Inspeccion a demanda;7794889;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;11409684;BUSTOS PABON SINAI OCTAVIO;$ 14.573.081;Iveth Roa;$ 14.204.359;$ 7.102.180;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
204;Inspeccion a demanda;7794896;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;37944269;GARCIA PARDO MARTHA ISABEL;$ 11.226.481;Iveth Roa;$ 10.401.597;$ 5.200.799;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
205;Inspeccion a demanda;7795313;Anulada;40;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;88256604;VARGAS JAIMES ERICK JOAN;$ 105.000.000;Iveth Roa;$ 105.000.000;$ 42.000.000;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
206;Inspeccion a demanda;7795319;Anulada;40;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;1094919058;LARA PUENTES JHOAN SEBASTIAN;$ 95.000.000;Iveth Roa;$ 95.000.000;$ 38.000.000;31/08/2021;-;Diferencia tipo de cartera entre los soportes;17/09/2021;NO;No aplica
207;Inspeccion a demanda;7803875;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;1098694119;GONZALEZ ORTIZ DIEGO ARMANDO;$ 16.000.000;Iveth Roa;$ 14.987.707;$ 7.493.854;31/08/2021;-;Diferencia tipo de cartera entre los soportes;17/09/2021;NO;No aplica
208;Inspeccion a demanda;7803878;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;1140887535;BALLESTAS FERNANDEZ FABIAN HUMBERTO;$ 18.000.000;Iveth Roa;$ 17.480.602;$ 8.740.301;31/08/2021;-;Diferencia tipo de cartera entre los soportes;17/09/2021;NO;No aplica
209;Inspeccion a demanda;7803881;Extinguida - Saldada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;98531656;CARLOS MARIO GUTIERREZ MADRID;$ 46.668.483;Iveth Roa;$ 46.014.248;$ 23.007.124;30/06/2021;-;Diferencia tipo de cartera entre los soportes;17/09/2022;Si;No aplica
210;Inspeccion a demanda;7061683;Vigente;40;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;79399441;JORGE ENRIQUE MANCERA BASTIDAS;$ 60.000.000;Iveth Roa;$ 51.084.331;$ 20.433.732;31/01/2022;-;Diferencia tipo de cartera entre los soportes;17/09/2021;Si;No aplica
211;Inspeccion a demanda;7108115;Vigente;40;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;1073677346;FABIAN MAZO HERNANDEZ;$ 60.000.000;Iveth Roa;$ 33.464.126;$ 13.385.650;31/01/2022;-;Diferencia tipo de cartera entre los soportes;17/09/2021;Si;No aplica
212;Inspeccion a demanda;7118093;Vigente;40;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;39666130;RUTH STELLA GUTIEREZ ROMERO;$ 37.000.000;Iveth Roa;$ 31.509.576;$ 12.603.830;31/01/2022;-;Diferencia tipo de cartera entre los soportes;17/09/2021;Si;No aplica
213;Inspeccion a demanda;7497018;Vigente;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;52968399;YULI MILENA FERNANDEZ HERNANDEZ;$ 90.000.000;Iveth Roa;$ 86.941.728;$ 43.470.864;31/01/2022;-;Diferencia en fecha y monto de desembolso;17/09/2021;Si;No aplica
214;Inspeccion a demanda;7557722;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;52346356;CLAUDIA PATRICIA MONTERO PARADA;$ 112.513.689;Iveth Roa;$ 105.788.841;$ 52.894.421;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
215;Inspeccion a demanda;7654130;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;14316388;ACUNA POVEDA RODRIGO;$ 85.431.140;Iveth Roa;$ 80.826.866;$ 40.413.433;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
216;Inspeccion a demanda;7655286;Extinguida - Saldada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;19442158;NELSON ENRIQUE BAUTISTA MALDONADO;$ 73.117.928;Iveth Roa;$ 68.918.075;$ 34.459.038;31/07/2021;-;Diferencia en fecha y monto de desembolso;17/09/2022;Si;No aplica
217;Inspeccion a demanda;7721366;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;70125545;DAVID NORBERTO PEREZ VELEZ;$ 56.061.338;Iveth Roa;$ 53.974.613;$ 26.987.307;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
218;Inspeccion a demanda;7721382;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;94442201;EDWARD JHONNATANG CAICEDO ALOMIA;$ 49.106.181;Iveth Roa;$ 46.095.046;$ 23.047.523;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
219;Inspeccion a demanda;7721410;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;19222716;FRANCISCO MARIA FERNANDEZ VILLAVE;$ 29.764.873;Iveth Roa;$ 29.764.873;$ 14.882.437;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
220;Inspeccion a demanda;7721430;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;41661029;MARTHA LUCIA VELASCO RAMIREZ;$ 50.799.348;Iveth Roa;$ 49.032.530;$ 24.516.265;31/08/2021;-;Diferencia tipo de cartera entre los soportes;17/09/2021;NO;No aplica
221;Inspeccion a demanda;7750182;Vigente;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;13721017;FRANKY SEBASTIAN MORA CARRENO;$ 67.190.000;Iveth Roa;$ 61.791.390;$ 30.895.695;31/01/2022;-;Diferencia en fecha y monto de desembolso;17/09/2021;Si;No aplica
222;Inspeccion a demanda;7795075;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;10112771;GUTIERREZ HENAO EVERT NAI;$ 24.415.172;Iveth Roa;$ 23.715.829;$ 11.857.915;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
223;Inspeccion a demanda;7795112;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;1152444572;RESTREPO VALDERRAMA CHRISTIAN CAMIL;$ 23.885.315;Iveth Roa;$ 23.182.798;$ 11.591.399;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
224;Inspeccion a demanda;7795130;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;1053787467;LOAIZA ALVAREZ ADRIANA MARCELA;$ 23.885.315;Iveth Roa;$ 13.947.088;$ 6.973.544;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
225;Inspeccion a demanda;7795414;Extinguida - Saldada;40;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;80207166;OCHOA AMAYA CAMILO ADOLFO;$ 77.520.000;Iveth Roa;$ 77.520.000;$ 31.008.000;31/07/2021;-;Diferencia en fecha y monto de desembolso;17/09/2022;Si;No aplica
226;Inspeccion a demanda;7808678;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;14222591;QUINTERO RODRIGUEZ VALERIO;$ 88.047.143;Iveth Roa;$ 85.215.956;$ 42.607.978;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
227;Inspeccion a demanda;7808684;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;94380328;BORRERO HINCAPIE JAMES;$ 110.000.000;Iveth Roa;$ 110.000.000;$ 55.000.000;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
228;Inspeccion a demanda;7808690;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;93410287;SANCHEZ BAQUERO JUAN PABLO;$ 143.920.000;Iveth Roa;$ 143.920.000;$ 71.960.000;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
229;Inspeccion a demanda;7808755;Extinguida - Saldada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;1014205340;ORJUELA BRICEÑO JULIAN DAVID;$ 140.339.818;Iveth Roa;$ 1.221.498;$ 610.749;31/07/2021;-;Diferencia en fecha y monto de desembolso;17/09/2022;Si;No aplica
230;Inspeccion a demanda;7808792;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;7923587;SANTAMARIA ARIZA LUIS AMADOR;$ 163.900.000;Iveth Roa;$ 163.900.000;$ 81.950.000;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
231;Inspeccion a demanda;7795185;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;80725086;GOMEZ BOTERO EDUARDO ARTURO;$ 18.205.038;Iveth Roa;$ 17.711.712;$ 8.855.856;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
232;Inspeccion a demanda;7795198;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;3414877;ORREGO SANCHEZ SANTIAGO;$ 18.396.949;Iveth Roa;$ 17.875.844;$ 8.937.922;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
233;Inspeccion a demanda;7795210;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;79220970;OSORIO BARRERO DIEGO FABIAN;$ 17.915.851;Iveth Roa;$ 17.516.815;$ 8.758.408;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
234;Inspeccion a demanda;7795227;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;1075268043;GUZMAN LOSADA ALEXIA FERNANDA;$ 15.994.799;Iveth Roa;$ 15.720.589;$ 7.860.295;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
235;Inspeccion a demanda;7803883;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;18591661;JESUS GOMEZ;$ 18.037.364;Iveth Roa;$ 17.404.875;$ 8.702.438;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
236;Inspeccion a demanda;7803891;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;1013589943;HURTADO GRAJALES LEIDY JOHANA;$ 25.517.058;Iveth Roa;$ 24.997.311;$ 12.498.656;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
237;Inspeccion a demanda;7803896;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;1036652977;ACEVEDO ARROYAVE DANIEL JOSE;$ 25.548.938;Iveth Roa;$ 24.938.519;$ 12.469.260;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
238;Inspeccion a demanda;7803899;Extinguida - Saldada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;1144177332;LENIS ESQUIVEL LUIS CARLOS;$ 28.718.543;Iveth Roa;$ 28.023.521;$ 14.011.761;31/07/2021;-;Diferencia en fecha y monto de desembolso;17/09/2022;Si;No aplica
239;Inspeccion a demanda;7803900;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;1020401396;MONTOYA VANEGAS HECTOR ALEJANDRO;$ 34.374.000;Iveth Roa;$ 34.374.000;$ 17.187.000;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
240;Inspeccion a demanda;7803904;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;43445647;MARIA DORI GOMEZ ZAPATA;$ 35.084.607;Iveth Roa;$ 34.249.865;$ 17.124.933;31/07/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
241;Inspeccion a demanda;7803908;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;80036991;MILLAN PATIÑO OSCAR;$ 36.855.035;Iveth Roa;$ 36.455.225;$ 18.227.613;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;Si;No aplica
242;Inspeccion a demanda;7803911;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;1124190849;BEDOYA MORALES KEVIN LEANDRO;$ 57.250.376;Iveth Roa;$ 55.212.122;$ 27.606.061;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
243;Inspeccion a demanda;7803913;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;71295944;CASTAÑEDA ORTIZ JUAN ESTEBAN;$ 60.000.000;Iveth Roa;$ 60.000.000;$ 30.000.000;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
244;Inspeccion a demanda;7803914;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;72149849;IBARRA MARTINEZ WILSON ENRIQUE;$ 76.351.918;Iveth Roa;$ 60.000.000;$ 30.000.000;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
245;Inspeccion a demanda;7808670;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;4888694;DURAN OME CARLOS MAURICIO;$ 77.673.086;Iveth Roa;$ 76.044.633;$ 38.022.317;31/08/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
246;Inspeccion a demanda;7808672;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;19420091;GALINDO SALAMANCA VIDAL;$ 76.897.143;Iveth Roa;$ 34.237.953;$ 17.118.977;31/07/2021;-;Diferencia en fecha y monto de desembolso;17/09/2021;NO;No aplica
247;Inspeccion a demanda;7820587;Vigente;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCO FINANDINA SA;CC;1102354580;SANDOVAL BECERRA LUDWING ARLEY;$ 122.150.000;Iveth Roa;$ 120.381.536;$ 60.190.768;31/01/2022;-;Diferencia tipo de cartera entre los soportes;17/09/2021;Si;No aplica
248;Inspeccion a demanda;5640312;Anulada;90;EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%;BANCO DE BOGOTA;NIT;8600383744;FUNDACION UNIVERSITARIA JUAN N CORP;$ 2.000.000.000;Iveth Roa;$ 1.533.333.330;$ 1.379.999.997;30/06/2021;-;Incumplimiento en tamaño del deudor;4/08/2021;NO;No aplica
249;Inspeccion a demanda;7776766;Anulada;50;EMP080 GARANTÍA PYME PREFERENTE;BANCO AGRARIO;NIT;9008104146;DRINKS DE COLOMBIA SAS;$ 400.000.000;Iveth Roa;$ 400.000.000;$ 200.000.000;30/07/2021;-;Incumplimiento en tamaño del deudor;9/08/2021;NO;No aplica
250;Inspeccion a demanda;7838038;Anulada;80;EMP201 UNIDOS POR COLOMBIA PYMES AL 60%;CFC DANN REGIONAL;NIT;8001480410;SERVILIMPIEZA SA;$ 1.500.000.000;Iveth Roa;$ 1.499.415.417;$ 1.199.532.334;31/07/2021;-;Incumplimiento en tamaño del deudor;9/08/2021;NO;No aplica
251;Inspeccion a demanda;5732298;Anulada;90;EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%;BANCO DE BOGOTA;NIT;8600545461;MG CONSULTORES SAS;$ 823.000.000;Iveth Roa;$ 588.202.533;$ 529.382.280;31/03/2021;-;Incumplimiento en tamaño del deudor;4/08/2021;NO;No aplica
252;Inspeccion a demanda;5807015;Anulada;90;EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%;BANCO DE BOGOTA;NIT;8600545461;MG CONSULTORES SAS;$ 330.000.000;Iveth Roa;$ 274.667.902;$ 247.201.112;31/03/2021;-;Incumplimiento en tamaño del deudor;4/08/2021;NO;No aplica
253;Inspeccion a demanda;5813224;Anulada;90;EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%;BANCO DE BOGOTA;NIT;9000607428;G M P  INGENIEROS E U;$ 277.344.000;Iveth Roa;$ 229.816.178;$ 206.834.560;30/06/2021;-;Incumplimiento en tamaño del deudor;28/07/2021;NO;No aplica
254;Inspeccion a demanda;5935274;Anulada;50;EMP080 GARANTÍA PYME PREFERENTE;FINAKTIVA;NIT;9005185999;GOOD PRICE CORPORATION SAS;$ 330.000.000;Iveth Roa;$ 58.864.800;$ 29.432.400;31/05/2021;-;Incumplimiento en tamaño del deudor;28/07/2021;NO;No aplica
255;Inspeccion a demanda;5973539;Anulada;50;EMP080 GARANTÍA PYME PREFERENTE;BANCO DE OCCIDENTE;NIT;9009442106;COMERCIALIZADORA INTERNACIONAL GREE;$ 666.054.640;Iveth Roa;$ 178.000;$ 89.000;31/10/2020;-;Incumplimiento en tamaño del deudor;1/09/2021;NO;No aplica
256;Inspeccion a demanda;6045060;Anulada;90;EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%;BANCO DE BOGOTA;NIT;8600545461;MG CONSULTORES SAS;$ 951.158.876;Iveth Roa;$ 1.305.000.000;$ 1.174.500.000;31/03/2021;-;Incumplimiento en tamaño del deudor;4/08/2021;NO;No aplica
257;Inspeccion a demanda;6212015;Anulada;90;EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%;BANCO DE BOGOTA;NIT;8600545461;MG CONSULTORES SAS;$ 57.000.000;Iveth Roa;$ 50.666.665;$ 45.599.999;31/03/2021;-;Incumplimiento en tamaño del deudor;4/08/2021;NO;No aplica
258;Inspeccion a demanda;6255150;Anulada;90;EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%;BANCO DE BOGOTA;NIT;9000607428;G M P  INGENIEROS E U;$ 431.424.000;Iveth Roa;$ 405.469.926;$ 364.922.933;30/06/2021;-;Incumplimiento en tamaño del deudor;28/07/2021;NO;No aplica
259;Inspeccion a demanda;6255093;Anulada;90;EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%;BBVA;NIT;8140000644;SJFULL SERVICES LTDA;$ 300.000.000;Iveth Roa;$ 233.333.332;$ 209.999.999;15/07/2021;-;Incumplimiento en tamaño del deudor;28/07/2021;NO;No aplica
